Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,DOI,Microsoft Academic ID
000-149-898-009-664,"Monitoring Land Use Change for Gentrification in Soho (London), Using Geographic Information Systems and Google Street View",2019-06-30,2019,journal article,European Scientific Journal ESJ,18577881; 18577431,"European Scientific Institute, ESI",,Julia Velastegui; Luis Alejandro Velastegui; Manuel Fabián Moyon,"Gentrification involves the substantial replacement of a neighborhood's lower-income residents with newcomers of higher income who renovate and upgrade the neighborhood. Although gentrification is first and foremost a residential process, it also entails commercial redevelopment. As the socioeconomic composition of the neighborhood changes, so it does the perception of acceptable land uses. In Soho, displacement has affect residents and local business in the same way, but the attention has been focused in the cultural and entertainment activities that have been currently disappearing, since once they were the heart of this neighborhood. The principal aim of this study is to develop a methodology to keep geographic land-use databases updated in order to analyze the spatial variability related with gentrification process of Soho. This study shows a methodology to keep geographic land-use database updated using Geographic Information Systems, through the use of panoramic photos captured by Google Street View. Since the panoramic photos from different years are now available, Google Street View could become a new tool to perceive, observe and study neighborhood changes in Soho during the years 2008, 2012, 2014 and 2015. Based on the obtained maps, there is a representative spatial variability that land uses show in Soho, as regardless the reduced extension of this area, the centroids are constantly moving from year to year. Therefore, Geographic Information Systems and Google Street View are useful tools to keep updated geodatabases; however, for future work it is recommended the inclusion of Volunteered Geographic Information.",15,17,1,1,"Land use, land-use change and forestry; Socioeconomic status; Regional science; Geography; Gentrification; Redevelopment; Geographic information system; Land use; Entertainment; Volunteered geographic information",,10.19044/esj.2019.v15n17p1,2956159135
000-182-213-987-030,RIDE VIBRATIONS: TOWARDS COMFORT-BASED BICYCLE NAVIGATION,2020-08-25,2020,journal article,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",21949034,Copernicus GmbH,,O. Wage; U. Feuerhake; C. Koetsier; A. Ponick; N. Schild; T. Beening; S. Dare,"Abstract. Providers for common navigation systems and mobile applications apply their route choice concepts for cars almost unmodified to cyclists. In contrast to motorists the latter are not significantly influenced by the traffic situation or speed limits, but notably by other factors like slopes and path’s surface type and quality. In a volunteered geographic information fashion this paper contributes a smartphone-based mobile sensing and evaluation approach for bicycle way’s roughness. It presents the complete process chain from data acquisition using the mobile app ”RideVibes” to a detailed data analysis on street segment level to finally enable a comfort sensitive route optimization and recommendation.",XLIII-B4-2020,,367,373,Data acquisition; Vibration; Mobile apps; Mobile sensing; Street segment; Detailed data; Surface type; Computer science; Volunteered geographic information; Real-time computing,,10.5194/isprs-archives-xliii-b4-2020-367-2020,3080262003
000-223-968-665-572,A Generic Spatial OLAP Model for Evaluating Natural Hazards in a Volunteered Geographic Information Context,,2014,journal article,International Journal of Agricultural and Environmental Information Systems,19473192; 19473206,IGI Global,United States,Sandro Bimonte; Omar Boucelma; Olivier Machabert; Sana Sellami,"Spatial data warehouses (SDW) and spatial OLAP (SOLAP) systems are well-known business intelligence technologies that aim to support a multidimensional and online analysis for a large volume of geo-referenced datasets. SOLAP systems are already used in the context of natural hazards for analyzing sensor data and experts' measurements. Recently, new data gathering tools coined as volunteered geographic information systems (VGI) have been adopted especially by non-expert users. Hence, (spatial) application development is facing a new challenge, which is the integration of expert-oriented data with citizen-provided data. In this paper, we propose a new generic spatio-multidimensional model based on the question/answer risk evaluation model that allows the integration of VGI data with classical SDW and SOLAP systems for the online analysis of natural hazards monitored by volunteers.",5,4,40,55,Data collection; Online analytical processing; Data science; Business intelligence; Spatial data warehouse; Risk evaluation; Online analysis; Natural hazard; Computer science; Volunteered geographic information,,10.4018/ijaeis.2014100102,2043296635
000-278-753-205-884,Evaluation of the quality of an online geocoding resource in the context of a large Brazilian city,2011-11-22,2011,journal article,Transactions in GIS,13611682; 14679671,Wiley,United Kingdom,Clodoveu A. Davis; Rafael Odon de Alencar,"Geocoding urban addresses usually requires the use of an underlying address database. Under the influence of the format defined for TIGER files decades ago, most address databases and street geocoding algorithms are organized around street centerlines, associating numbering ranges to thoroughfare segments between two street crossings. While this method has been successfully employed in the USA for a long time, its transposition to other countries may lead to increased errors. This article presents an evaluation of the centerline-geocoding resources provided by Google Maps, as compared to the point-geocoding method used in the city of Belo Horizonte, Brazil, which we took as a baseline. We generated a textual address for each point object found in the city's point-based address database, and submitted it to the Google Maps geocoding API. We then compared the resulting coordinates with the ones recorded in Belo Horizonte's GIS. We demonstrate that the centerline segment interpolation method, employed by the online resources following the American practice, has problems that can considerably influence the quality of the geocoding outcome. Completeness and accuracy have been found to be irregular, especially within lower income areas. Such errors in online services can have a significant impact on geocoding efforts related to social applications, such as public health and education, since the online service can be faulty and error-prone in the most socially demanding areas of the city. In the conclusion, we point out that a volunteered geographic information (VGI) approach can help with the enrichment and enhancement of current geocoding resources, and can possibly lead to their transformation into more reliable point-based geocoding services.",15,6,851,868,Numbering; Geography; Data science; Point object; Lower income; Geocoding; Volunteered geographic information; Cartography,,10.1111/j.1467-9671.2011.01288.x,1921424391
000-324-140-892-743,On Data Quality Assurance and Conflation Entanglement in Crowdsourcing for Environmental Studies,2017-03-11,2017,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Didier G. Leibovici; Julian F. Rosser; Crona Hodges; Barry Evans; Mike Jackson; Chris Higgins,"Volunteer geographical information (VGI), either in the context of citizen science or the mining of social media, has proven to be useful in various domains including natural hazards, health status, disease epidemics, and biological monitoring. Nonetheless, the variable or unknown data quality due to crowdsourcing settings are still an obstacle for fully integrating these data sources in environmental studies and potentially in policy making. The data curation process, in which a quality assurance (QA) is needed, is often driven by the direct usability of the data collected within a data conflation process or data fusion (DCDF), combining the crowdsourced data into one view, using potentially other data sources as well. Looking at current practices in VGI data quality and using two examples, namely land cover validation and inundation extent estimation, this paper discusses the close links between QA and DCDF. It aims to help in deciding whether a disentanglement can be possible, whether beneficial or not, in understanding the data curation process with respect to its methodology for future usage of crowdsourced data. Analysing situations throughout the data curation process where and when entanglement between QA and DCDF occur, the paper explores the various facets of VGI data capture, as well as data quality assessment and purposes. Far from rejecting the usability ISO quality criterion, the paper advocates for a decoupling of the QA process and the DCDF step as much as possible while still integrating them within an approach analogous to a Bayesian paradigm",6,3,78,,Automatic identification and data capture; Quality assurance; Conflation; Usability; Geography; Data quality; Data science; Volunteered geographic information; Crowdsourcing; Data curation,,10.3390/ijgi6030078,2595779829
000-380-049-414-376,New Age of Crisis Management with Social Media,2020-09-08,2020,book chapter,Open Source Geospatial Science for Urban Studies,25233440; 25233459,Springer International Publishing,,Ayse Giz Gulnerman; Himmet Karaman; Anahid Basiri,"Social Media (SM) Volunteered Geographic Information (VGI) is gradually being used for representing the real-time situation during emergency. This chapter presents the SM-VGI review as a new age contribution to emergency management. The study analyses a series of emergencies during the so-called coup attempt within the boundary of Istanbul on the 15th of July 2016 in terms of spatial clusters in time and textual frequencies within 24 h. The aim of the study is to gain an understanding of the usefulness of geo-referenced Social Media Data (SMD) in monitoring emergencies. Inferences exhibit that SM-VGI can rapidly provide the information in the spatiotemporal context with the proper validations, in this way it has advantages to use during emergencies. In addition, even though geo-referenced data embody the small percent of the total volume of the SMD, it would specify reliable spatial clusters for the events, monitoring with optimized-hot-spot analysis and with the word frequencies of its attributes.",,,131,160,Word lists by frequency; Data science; Crisis management; Spatial data mining; Spatial clustering; Computer science; Social media; Volunteered geographic information; Emergency management,,10.1007/978-3-030-58232-6_8,3083821324
000-685-783-241-251,Value creation through trust in technological-mediated social participation,2016-04-06,2016,journal article,"Technology, Innovation and Education",21979855,Springer Science and Business Media LLC,,Sonia Sousa; David Lamas; Paulo Dias,"In this article, we advocate for the use of a social-technical model of trust to support interaction designers in further reflecting on trust-enabling interaction design values that foster participation. Our rationale is built upon the believe that technological-mediated social participation needs trust, and it is with trust-enabling interactions that we foster the will for collaborate and share—the two key elements of participation. This article starts by briefly presenting a social-technical model of trust and then moves on with establishing authors rational that interconnects trust with technological-mediated social participation. It continues by linking the trust value to the context of design critique and critical design, and ends by illustrating how to incorporate the trust value into design. This is achieved by proposing an analytical tool that can serve to inform interaction designers to better understand the potential design options and reasons for choosing them",2,1,5,,Interaction design; Computational trust; Educational technology; Political science; User experience design; Critical design; Sharing economy; Public relations; Knowledge management; Social capital; Social engagement,,10.1186/s40660-016-0011-7,2296570773
000-756-236-294-499,Amateur or Professional: Assessing the Expertise of Major Contributors in OpenStreetMap Based on Contributing Behaviors,2016-02-22,2016,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Anran Yang; Hongchao Fan; Ning Jing,"Volunteered geographic information (VGI) projects, such as OpenStreetMap (OSM), provide an alternative way to produce geographic data. Research has proven that the resulting data in some areas are of decent quality, which guarantees their usability in various applications. Though these achievements are normally attributed to the huge heterogeneous community mainly consisting of amateurs, it is in fact a small percentage of major contributors who make nearly all contributions. In this paper, we investigate the contributing behaviors of these contributors to deduce whether they are actually professionals. Various indicators are used to depict the behaviors on three themes: practice, skill and motivation, aiming to identify solid evidence for expertise. Our case studies show that most major contributors in Germany, France and the United Kingdom are hardly amateurs, but are professionals instead. These contributors have rich experiences on geographical data editing, have a decent grasp of professional software and work on the project with enthusiasm and concentration. It is less unexpected that they can create geographic data of high quality",5,2,21,,Usability; GRASP; Geography; Data editing; Amateur; Enthusiasm; Knowledge management; Volunteered geographic information,,10.3390/ijgi5020021,2287642693
000-950-281-545-41X,How an augmented reality game (Pokémon GO) affected volunteer contributions to OpenStreetMap,2019-07-10,2019,journal article,Proceedings of the ICA,25702092,Copernicus GmbH,,Brian Alan Johnson,"<jats:p>&lt;p&gt;&lt;strong&gt;Abstract.&lt;/strong&gt; OpenStreetMap (OSM) has become one of the largest sources of volunteered geographic information (VGI), and the data is now used for a wide range of applications. A massively popular augmented reality game, Pokémon GO, recently adopted OSM data for its in-game map and many of its in-game mechanics. This study investigated: (1) How Pokémon GO affected the quantity of daily contributors and daily edits to OSM in South Korea (the only country where OSM data was used exclusively since the game’s launch); and (2) How the game affected volunteers’ contribution habits. The main findings were: (i) the number of daily contributors and daily edits both increased by more than 17 times following the launch of Pokémon GO in South Korea, but returned to more normal levels after around 1&amp;amp;frac12; months; (ii) Most individuals contributing to OSM because of Pokémon GO reportedly did so to improve the in-game map appearance and in-game mechanics; and (iii) Individuals motivated to contribute to OSM because of Pokémon GO tended to create/edit OSM “park” and “water body” features more than other OSM contributors. It is notable that the large increases in OSM contributors and edits occurred even in the absence of any formal guidance or encouragement by the game operator or other parties. If greater efforts are made to encourage participation in VGI initiatives linked to AR games, the observed impacts will likely be even more dramatic.&lt;/p&gt;;                     </jats:p>",2,,54,4,Internet privacy; Sociology; Augmented reality; Water body; Volunteered geographic information,,10.5194/ica-proc-2-54-2019,2958909673
000-967-721-739-893,Automated geographic context analysis for volunteered information,,2013,journal article,Applied Geography,01436228,Elsevier BV,Netherlands,Laura Spinsanti; Frank O. Ostermann,"Abstract Several studies show the impacts of (geo)social media and Volunteered Geographic Information (VGI) during crisis events, and have found intrinsic value for rescue teams, relief workers and humanitarian assistance coordinators, as well as the affected population. The main challenge is how emergency management and the public can capitalize on the abundance of this new source of information by reducing the volume to credible and relevant content. In this paper, we present the GeoCONAVI (Geographic CONtext Analysis for Volunteered Information) approach and a prototype system, designed to retrieve, process, analyze and evaluate social media content on forest fires, producing relevant, credible and actionable VGI usable for crisis events. The novelty of the approach lies in the enrichment of the content with additional geographic context information, and use of spatio-temporal clustering to support scoring and validation. Thus, the system is focusing on integrating authoritative data sources with VGI. Evaluation in case studies shows that the prototype system can handle large amounts of data with common-off-the-shelf hardware, produces valuable results, and is adaptable to other types of crisis events.",43,,36,44,World Wide Web; Geography; Data science; Novelty; USable; Population; Social media; Context analysis; Volunteered geographic information; Emergency management; Cluster analysis,,10.1016/j.apgeog.2013.05.005,2053746181
