Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Publication Supplementary Type,Citation IDs,Languages
000-324-140-892-743,On Data Quality Assurance and Conflation Entanglement in Crowdsourcing for Environmental Studies,2017-03-11,2017,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Didier G. Leibovici; Julian F. Rosser; Crona Hodges; Barry Evans; Mike Jackson; Chris Higgins,"Volunteer geographical information (VGI), either in the context of citizen science or the mining of social media, has proven to be useful in various domains including natural hazards, health status, disease epidemics, and biological monitoring. Nonetheless, the variable or unknown data quality due to crowdsourcing settings are still an obstacle for fully integrating these data sources in environmental studies and potentially in policy making. The data curation process, in which a quality assurance (QA) is needed, is often driven by the direct usability of the data collected within a data conflation process or data fusion (DCDF), combining the crowdsourced data into one view, using potentially other data sources as well. Looking at current practices in VGI data quality and using two examples, namely land cover validation and inundation extent estimation, this paper discusses the close links between QA and DCDF. It aims to help in deciding whether a disentanglement can be possible, whether beneficial or not, in understanding the data curation process with respect to its methodology for future usage of crowdsourced data. Analysing situations throughout the data curation process where and when entanglement between QA and DCDF occur, the paper explores the various facets of VGI data capture, as well as data quality assessment and purposes. Far from rejecting the usability ISO quality criterion, the paper advocates for a decoupling of the QA process and the DCDF step as much as possible while still integrating them within an approach analogous to a Bayesian paradigm",6,3,78,,Automatic identification and data capture; Quality assurance; Conflation; Usability; Geography; Data quality; Data science; Volunteered geographic information; Crowdsourcing; Data curation,,,,Seventh Framework Programme,https://dblp.uni-trier.de/db/journals/ijgi/ijgi6.html#LeiboviciRHEJH17 https://www.mdpi.com/2220-9964/6/3/78 https://core.ac.uk/display/89991630 https://www.mdpi.com/2220-9964/6/3/78/pdf http://ui.adsabs.harvard.edu/abs/2017IJGI....6...78L/abstract http://www.isprs-ann-photogramm-remote-sens-spatial-inf-sci.net/II-3-W5/195/2015/isprsannals-II-3-W5-195-2015.pdf https://doi.org/10.3390/ijgi6030078 https://dissem.in/p/29993104/on-data-quality-assurance-and-conflation-entanglement-in-crowdsourcing-for-environmental-studies https://doaj.org/article/a7b25fced9184c5b8dfa5d8921694a9e,http://dx.doi.org/10.3390/ijgi6030078,10.3390/ijgi6030078,2595779829,,0,002-555-907-164-663; 007-857-101-229-718; 010-390-048-140-045; 011-014-349-482-329; 011-429-970-594-438; 012-944-780-631-886; 014-845-068-774-33X; 023-910-534-464-860; 027-736-997-184-595; 036-045-596-267-027; 036-756-046-258-434; 038-976-596-179-447; 040-267-517-107-219; 046-026-102-253-397; 046-034-795-163-238; 049-070-739-575-761; 049-684-449-089-85X; 049-985-939-099-144; 053-620-292-475-147; 054-859-619-242-072; 061-264-928-243-686; 071-175-593-029-415; 072-399-891-869-702; 083-148-286-053-230; 087-529-691-896-842; 088-535-756-565-284; 091-311-841-947-311; 097-612-174-011-049; 119-783-316-052-720; 147-436-998-387-753; 150-597-705-102-79X; 158-400-294-926-346; 158-840-828-561-230; 164-117-034-807-950; 171-544-875-588-246; 187-545-186-087-927,14,,(doi) 10.3390/ijgi6030078; (coreid) 89991630; (magid) 2595779829,en
000-756-236-294-499,Amateur or Professional: Assessing the Expertise of Major Contributors in OpenStreetMap Based on Contributing Behaviors,2016-02-22,2016,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Anran Yang; Hongchao Fan; Ning Jing,"Volunteered geographic information (VGI) projects, such as OpenStreetMap (OSM), provide an alternative way to produce geographic data. Research has proven that the resulting data in some areas are of decent quality, which guarantees their usability in various applications. Though these achievements are normally attributed to the huge heterogeneous community mainly consisting of amateurs, it is in fact a small percentage of major contributors who make nearly all contributions. In this paper, we investigate the contributing behaviors of these contributors to deduce whether they are actually professionals. Various indicators are used to depict the behaviors on three themes: practice, skill and motivation, aiming to identify solid evidence for expertise. Our case studies show that most major contributors in Germany, France and the United Kingdom are hardly amateurs, but are professionals instead. These contributors have rich experiences on geographical data editing, have a decent grasp of professional software and work on the project with enthusiasm and concentration. It is less unexpected that they can create geographic data of high quality",5,2,21,,Usability; GRASP; Geography; Data editing; Amateur; Enthusiasm; Knowledge management; Volunteered geographic information,,,,,http://www.mdpi.com/2220-9964/5/2/21 https://www.mdpi.com/2220-9964/5/2/21/pdf https://ui.adsabs.harvard.edu/abs/2016IJGI....5...21Y/abstract https://doi.org/10.3390/ijgi5020021 https://www.mdpi.com/2220-9964/5/2/21 https://core.ac.uk/display/90633022 https://dblp.uni-trier.de/db/journals/ijgi/ijgi5.html#YangFJ16 https://dx.doi.org/10.3390/ijgi5020021,http://dx.doi.org/10.3390/ijgi5020021,10.3390/ijgi5020021,2287642693,,0,008-714-358-699-609; 012-148-090-232-186; 014-348-277-735-954; 017-614-610-102-13X; 021-041-484-242-674; 021-624-773-712-198; 022-473-450-579-960; 026-645-756-189-301; 030-975-962-975-895; 032-353-715-439-039; 038-976-596-179-447; 040-267-517-107-219; 041-776-012-221-771; 047-100-212-874-054; 056-483-995-783-139; 057-545-918-303-995; 088-339-711-439-200; 091-204-512-390-272; 097-612-174-011-049; 097-622-766-000-537; 099-169-442-324-498; 104-199-994-805-907; 111-901-923-536-480; 117-889-713-446-267; 118-057-611-878-127; 122-656-286-991-79X; 171-544-875-588-246; 190-216-777-739-959,18,,(coreid) 90633022; (doi) 10.3390/ijgi5020021; (magid) 2287642693,en
000-950-281-545-41X,How an augmented reality game (Pokémon GO) affected volunteer contributions to OpenStreetMap,2019-07-10,2019,journal article,Proceedings of the ICA,25702092,Copernicus GmbH,,Brian Alan Johnson,"<jats:p>&lt;p&gt;&lt;strong&gt;Abstract.&lt;/strong&gt; OpenStreetMap (OSM) has become one of the largest sources of volunteered geographic information (VGI), and the data is now used for a wide range of applications. A massively popular augmented reality game, Pokémon GO, recently adopted OSM data for its in-game map and many of its in-game mechanics. This study investigated: (1) How Pokémon GO affected the quantity of daily contributors and daily edits to OSM in South Korea (the only country where OSM data was used exclusively since the game’s launch); and (2) How the game affected volunteers’ contribution habits. The main findings were: (i) the number of daily contributors and daily edits both increased by more than 17 times following the launch of Pokémon GO in South Korea, but returned to more normal levels after around 1&amp;amp;frac12; months; (ii) Most individuals contributing to OSM because of Pokémon GO reportedly did so to improve the in-game map appearance and in-game mechanics; and (iii) Individuals motivated to contribute to OSM because of Pokémon GO tended to create/edit OSM “park” and “water body” features more than other OSM contributors. It is notable that the large increases in OSM contributors and edits occurred even in the absence of any formal guidance or encouragement by the game operator or other parties. If greater efforts are made to encourage participation in VGI initiatives linked to AR games, the observed impacts will likely be even more dramatic.&lt;/p&gt;;                     </jats:p>",2,,54,4,Internet privacy; Sociology; Augmented reality; Water body; Volunteered geographic information,,,,,https://ui.adsabs.harvard.edu/abs/2019PrICA...2...54J/abstract https://noa.gwlb.de/receive/cop_mods_00001351 https://iges.or.jp/en/pub/how-augmented-reality-game-pok%C3%A9mon-go-affected https://www.proc-int-cartogr-assoc.net/2/54/2019/ica-proc-2-54-2019.pdf https://www.proc-int-cartogr-assoc.net/2/54/2019/ https://iges.or.jp/system/files/publication_documents/pub/peer/7035/ica-proc-2-54-2019.pdf,http://dx.doi.org/10.5194/ica-proc-2-54-2019,10.5194/ica-proc-2-54-2019,2958909673,,0,,2,,(doi) 10.5194/ica-proc-2-54-2019; (magid) 2958909673,en
001-405-091-486-503,Orchids and emonocot - assembling research resources and facilitating collaborative taxonomy online,2013-08-11,2013,journal article,Lankesteriana,14093871; 22152067,Universidad de Costa Rica,Costa Rica,Lauren Gardiner; Ruth E. Bone; Niamh M. Kilgallen,"<jats:p>The Orchidaceae is one of the eight families targeted for in-depth treatment in the groundbreaking eMonocot project. A consortium formed by RBG Kew, the Natural History Museum (London), and Oxford University, and funded by NERC, eMonocot is an e-taxonomy initiative that will provide the first web-based treatment for the world’s monocot plants (constituting approximately 20% of all higher plants, some 70,000 species, and including numerous groups of the highest conservation, ecological, and economic importance). eMonocot will revolutionize the way taxonomic data are organized and accessed by both the practitioners and users of taxonomy, targeted at biodiversity and environmental scientists but also available to other users including volunteer biologists, horticulturists, schools, and the general public. Available information will include nomenclature, taxonomic descriptions, images, identification guides, as well as geographical, ecological, DNA sequence, and conservation data structured around a taxonomy derived from the World Checklist of Monocotyledons. As part of the eMonocot project, identification guides, and taxon pages to all Orchidaceae genera will be produced, alongside an interactive key and taxon pages for all Cypripedioideae (slipper orchid) species and infra-specific taxa. Researchers may upload content (such as images and species descriptions) to the taxon pages, edit the classification as taxa are described and revised, and access original publications for names and much more.</jats:p>",13,,33,37,Biodiversity; Genus; Library science; Ecology; Cypripedioideae; Data sharing; Orchidaceae; Nomenclature; Taxonomy (biology); Taxon; Biology,,,,,http://www.redalyc.org/pdf/443/44340043004.pdf https://biblat.unam.mx/es/revista/lankesteriana/articulo/orchids-and-emonocot-assembling-research-resources-and-facilitating-collaborative-taxonomy-online,http://dx.doi.org/10.15517/lank.v0i0.11531,10.15517/lank.v0i0.11531,2120009580,,0,,2,,(doi) 10.15517/lank.v0i0.11531; (magid) 2120009580,en
001-710-952-178-352,Distribution and incidence of Iris yellow spot virus in Colorado and its relation to onion plant population and yield,,2004,journal article,Plant disease,01912917; 19437692,American Phytopathological Society,United States,David H. Gent; Howard F. Schwartz; Rajiv Khosla,"Gent, D. H., Schwartz, H. F., and Khosla, R. 2004. Distribution and incidence of Iris yellow spot virus in Colorado and its relation to onion plant population and yield. Plant Dis. 88:446-452. Iris yellow spot virus (IYSV) is an emerging and potentially devastating disease of onion that was recently detected in Colorado and other onion producing regions in the western United States. In annual surveys, IYSV was confirmed in one of 18 fields (5.6%) in 2001, four of 24 (16.7%) in 2002, and 41 of 56 (73.2%) in 2003. IYSV was confirmed on volunteer onions in 2003 at all four locations where IYSV was observed in the onion crop the previous year. The disease was detected in six of seven western Colorado onion fields surveyed in 2003, but was not observed any year in southern or northeastern Colorado. The spatial variability of disease incidence, yield, and plant population also was mapped in two fields in 2003 using the global positioning system and a geographic information system. Disease incidence varied among cultivars, plant population, fields, and location in the field. Distinct disease gradients were observed in both fields with susceptible cultivars Teton and Granero, but not in the moderately resistant cultivar Sterling. In fields planted to the susceptible cultivars, disease incidence was highest on the field edges and lowest near the field centers. Plant population was negatively correlated with IYSV incidence in cultivar Sterling (R 2 = 0.56, P = 0.003), but not with the susceptible cultivars. Yield of jumbo market class onions, but not total yield, was negatively correlated with increasing IYSV incidence (R 2 = 0.37, P = 0.012) in cultivar Teton. Colossal market class yield, but not other yield components, was negatively correlated with IYSV incidence in cultivar Sterling (R2 = 0.28, P = 0.061). The results of these studies indicate the distribution of IYSV is rapidly expanding in Colorado and is associated with a general reduction in bulb size.",88,5,446,452,Plant virus; Bulb; Crop yield; Crop; Horticulture; Cultivar; Tospovirus; Incidence (epidemiology); Botany; Biology; Plant disease resistance,null; GIS; GPS; tospovirus,,,,https://www.cabdirect.org/cabdirect/abstract/20043078610 https://www.ncbi.nlm.nih.gov/pubmed/30812646,http://dx.doi.org/10.1094/pdis.2004.88.5.446,10.1094/pdis.2004.88.5.446,2141437720,,0,002-744-193-030-69X; 002-785-960-769-964; 016-786-976-925-514; 018-549-052-681-04X; 023-255-255-736-984; 023-580-135-834-335; 029-351-754-040-218; 029-459-814-458-363; 040-136-676-539-473; 040-892-075-247-081; 043-297-491-385-259; 048-759-597-164-652; 058-282-355-471-657; 059-630-050-149-581; 070-544-478-913-517; 082-983-910-215-428; 099-526-556-851-387; 105-038-571-034-775; 156-507-714-319-110,81,,(magid) 2141437720; (pmid) 30812646; (doi) 10.1094/pdis.2004.88.5.446,en
002-138-818-558-68X,Defacing the Map: Cartographic Vandalism in the Digital Commons,2014-05-05,2014,journal article,The Cartographic Journal,00087041; 17432774,Informa UK Limited,United Kingdom,Andrea Ballatore,"This article addresses the emergent phenomenon of carto-vandalism, the intentional defacement of collaborative cartographic digital artefacts in the context of volunteered geographic information. Through a qualitative analysis of reported incidents in WikiMapia and OpenStreetMap, a typology of this kind of vandalism is outlined, including play, ideological, fantasy, artistic and industrial carto-vandalism, as well as carto-spam. Two families of counter-strategies deployed in amateur mapping communities are discussed. First, the contributors organize forms of policing, based on volunteered community involvement, patrolling the maps and reporting incidents. Second, the detection of carto-vandalism can be supported by automated tools, based either on explicit rules or on machine learning.",51,3,214,224,Internet privacy; Patrolling; Ideology; Geography; Commons-based peer production; Amateur; Digital Commons; Fantasy; Volunteered geographic information; Cartography; Typology,,,,,https://www.tandfonline.com/doi/full/10.1179/1743277414Y.0000000085 http://eprints.bbk.ac.uk/14856/ https://dblp.uni-trier.de/db/journals/corr/corr1404.html#Ballatore14 https://arxiv.org/abs/1404.3341 https://arxiv.org/pdf/1404.3341,http://dx.doi.org/10.1179/1743277414y.0000000085,10.1179/1743277414y.0000000085,2013170807,,0,003-090-922-851-313; 004-549-026-576-969; 006-509-337-267-158; 006-751-819-799-259; 008-655-662-451-459; 011-181-457-911-053; 012-972-956-626-094; 014-818-480-999-908; 017-408-381-155-408; 019-029-287-138-022; 023-999-423-287-316; 024-403-212-152-856; 024-925-878-840-127; 027-810-404-452-404; 030-550-958-805-603; 033-395-799-782-636; 037-288-770-741-912; 038-976-596-179-447; 040-267-517-107-219; 040-932-360-856-349; 048-792-194-874-697; 057-545-918-303-995; 059-139-871-604-094; 069-828-047-358-119; 075-516-361-159-497; 076-295-551-316-588; 078-221-917-889-593; 080-691-510-947-091; 082-712-584-025-068; 089-486-196-748-24X; 093-069-283-590-468; 093-998-427-548-012; 094-021-272-968-844; 097-612-174-011-049; 098-565-405-790-308; 102-806-186-486-695; 103-603-335-973-873; 105-369-134-005-761; 106-299-884-002-426; 108-832-907-829-166; 109-940-744-521-566; 117-882-864-890-283; 122-519-590-230-337; 123-778-265-907-335; 124-204-158-447-955; 130-342-162-655-274; 130-921-146-922-025; 133-799-790-746-459; 135-360-535-210-851; 140-402-968-092-997; 142-736-250-172-560; 147-876-713-700-216; 157-555-854-080-87X; 158-076-963-580-986; 164-241-021-060-446; 167-736-682-293-62X; 169-004-007-623-620; 171-544-875-588-246; 177-345-088-134-452; 188-678-650-340-531; 197-857-258-425-469,21,,(magid) 2013170807; (doi) 10.1179/1743277414y.0000000085; (coreid) 141224600,en
002-167-242-221-680,Mapping with Stakeholders: An Overview of Public Participatory GIS and VGI in Transport Decision-Making,2019-04-24,2019,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Nadia Giuffrida; Michela Le Pira; Giuseppe Inturri; Matteo Ignaccolo,"Transport decision-making problems are typically spatially based and involve a set of feasible alternatives with multiple evaluation criteria. Besides, transport decisions affect citizens’ quality of life, as well as specific interests of general stakeholders (e.g., transport companies), thus needing a participatory approach to decision-making. Geographic Information Systems (GIS) have the ability to visualize spatial data and represent the impact of location based transport alternatives, thus helping experts to conduct robust assessments. Moreover, with the recent diffusion of Volunteered Geographic Information (VGI) and development of Public Participatory GIS (PPGIS) platforms, the process can be enhanced thanks to the collection of a large amount of updated spatial data and the achievement of an active community participation. In this study, we provide an overview based on a structured literature review of the use of VGI and PPGIS in transport studies, exploring the fields of application, role played by GIS, level of public involvement and decision stage at which they are applied. From the overview’s results, we propose a general framework for the evaluation of transport alternatives using GIS from a multiple stakeholder point of view; the main conclusion is the usefulness of the integration between Public Participation, GIS and quantitative evaluation methods, in particular Multi Criteria Decision Analysis, in order to foster technically sound and shared decisions.",8,4,198,,Multiple-criteria decision analysis; Spatial analysis; Public participation; Participatory GIS; Transportation planning; Computer science; Geographic information system; Public participation GIS; Knowledge management; Volunteered geographic information,,,,,https://www.mdpi.com/2220-9964/8/4/198/pdf https://doi.org/10.3390/ijgi8040198 https://www.mdpi.com/2220-9964/8/4/198 https://ui.adsabs.harvard.edu/abs/2019IJGI....8..198G/abstract https://dblp.uni-trier.de/db/journals/ijgi/ijgi8.html#GiuffridaPII19 https://www.iris.unict.it/handle/20.500.11769/366099 http://doi.org/10.3390/ijgi8040198,http://dx.doi.org/10.3390/ijgi8040198,10.3390/ijgi8040198,2942283335,,0,001-258-153-244-757; 002-289-130-158-571; 004-352-602-061-148; 004-780-758-131-529; 004-806-499-017-475; 005-859-545-795-67X; 006-645-727-854-83X; 009-449-866-817-415; 012-188-535-471-697; 014-348-461-428-399; 014-650-519-835-77X; 015-065-423-128-973; 015-838-469-820-668; 018-071-800-433-181; 019-858-329-201-383; 020-306-849-686-935; 021-837-451-246-728; 023-896-617-260-427; 025-627-163-529-328; 028-107-527-053-907; 029-950-131-115-839; 031-920-369-638-36X; 033-364-197-415-159; 033-887-086-154-913; 035-115-161-929-567; 036-232-143-978-014; 038-128-569-241-952; 038-473-036-344-411; 040-403-446-175-540; 044-182-665-236-605; 044-465-992-583-313; 046-125-346-020-083; 047-775-461-489-056; 048-467-969-121-430; 049-276-059-593-118; 051-732-318-709-84X; 052-660-858-188-826; 055-361-485-591-493; 057-499-818-661-598; 057-545-918-303-995; 058-471-185-716-692; 060-779-261-884-173; 061-339-659-412-990; 063-231-503-055-665; 064-619-421-470-619; 070-664-738-146-622; 075-055-324-161-337; 075-597-475-535-304; 075-609-191-146-804; 076-950-256-427-806; 080-212-373-943-842; 082-727-730-029-377; 083-305-001-046-130; 084-302-336-294-120; 084-860-197-320-291; 085-398-975-317-160; 086-203-673-633-604; 091-311-048-157-111; 102-160-469-693-977; 102-508-347-569-884; 107-779-871-429-016; 108-732-236-508-733; 110-966-876-500-004; 113-191-016-208-562; 115-138-381-291-317; 115-147-831-956-027; 116-890-402-799-411; 119-145-186-995-088; 127-655-403-797-492; 127-868-267-141-526; 134-178-509-686-058; 139-381-311-342-925; 139-912-118-574-409; 143-305-609-340-72X; 154-848-889-994-591; 161-282-888-210-031; 174-856-559-116-863; 187-970-868-476-580,10,,(doi) 10.3390/ijgi8040198; (magid) 2942283335,en
002-555-907-164-663,Assessing the Accuracy of Volunteered Geographic Information arising from Multiple Contributors to an Internet Based Collaborative Project,2013-05-22,2013,journal article,Transactions in GIS,13611682; 14679671,Wiley,United Kingdom,Giles M. Foody; Linda See; Steffen Fritz; M. van der Velde; Christoph Perger; Christian Schill; Doreen S. Boyd,"The recent rise of neogeography and citizen sensing has increased the opportunities for the use of crowdsourcing as a means to acquire data to support geographical research. The value of the resulting volunteered geographic information is, however, often limited by concerns associated with its quality and the degree to which the contributing data sources may be trusted. Here, information on the quality of sources of volunteered geographic information was derived using a latent class analysis. The volunteered information was on land cover interpreted visually from satellite sensor images and the main focus was on the labeling of 299 sites by seven of the 65 volunteers who contributed to an Internet-based collaborative project. Using the information on land cover acquired by the multiple volunteers it was shown that the relative, but not absolute, quality of the data from different volunteers could be characterized accurately. Additionally, class-specific variations in the quality of the information provided by a single volunteer could be characterized by the analysis. The latent class analysis, therefore, was able to provide information on the quality of information provided on an inter- and intra-volunteer basis.",17,6,847,860,The Internet; Geography; Information retrieval; Data science; Neogeography; Land cover; Internet based; Information quality; Volunteered geographic information; Crowdsourcing; Latent class model,,,,,https://doi.org/10.1111/tgis.12033 http://pure.iiasa.ac.at/id/eprint/10425/ https://nottingham-repository.worktribe.com/output/1000479 https://dx.doi.org/10.1111/tgis.12033 http://onlinelibrary.wiley.com/doi/10.1111/tgis.12033/abstract http://eprints.nottingham.ac.uk/2450/ https://onlinelibrary.wiley.com/doi/pdf/10.1111/tgis.12033 http://dx.doi.org/10.1111/tgis.12033 https://dblp.uni-trier.de/db/journals/tgis/tgis17.html#FoodySFVPSB13,http://dx.doi.org/10.1111/tgis.12033,10.1111/tgis.12033,1894564341,,0,000-278-753-205-884; 003-677-713-873-99X; 007-857-101-229-718; 008-228-229-971-350; 011-675-217-913-914; 014-753-224-456-758; 015-576-334-059-042; 017-073-459-509-914; 019-362-199-226-515; 020-241-105-547-516; 022-473-450-579-960; 023-494-124-775-228; 024-723-379-221-772; 026-645-756-189-301; 027-265-650-766-096; 027-486-299-838-927; 029-168-048-151-871; 040-267-517-107-219; 045-201-107-411-584; 049-524-737-748-351; 054-941-787-662-255; 057-545-918-303-995; 063-392-296-214-893; 069-048-542-531-065; 071-165-077-549-626; 072-243-912-426-29X; 075-297-478-041-735; 085-221-214-334-157; 088-339-711-439-200; 089-361-446-433-568; 092-652-930-589-909; 100-061-368-250-820; 122-656-286-991-79X; 124-043-027-110-303; 124-331-219-122-778; 134-083-809-434-096; 141-047-060-911-705; 157-379-975-670-921; 171-544-875-588-246; 195-700-115-416-356,96,,(coreid) 141249424; (magid) 1894564341; (doi) 10.1111/tgis.12033,en
003-063-555-518-194,ASSESSMENT OF THE VOLUNTEERED GEOGRAPHIC INFORMATION FEEDBACK SYSTEM FOR THE DUTCH TOPOGRAPHICAL KEY REGISTER,2015-08-19,2015,journal article,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",21949034,Copernicus GmbH,,M. Grus; D. te Winkel,<jats:p>Abstract. Since Topographical Key Register has become an open data the amount of users increased enormously. The highest grow was in the private users group. The increasing number of users and their growing demand for high actuality of the topographic data sets motivates the Dutch Kadaster to innovate and improve the Topographical Key Register (BRT). One of the initiatives was to provide a voluntary geographical information project aiming at providing a user-friendly feedback system adjusted to all kinds of user groups. The feedback system is a compulsory element of the Topographical Key Register in the Netherlands. The Dutch Kadaster is obliged to deliver a feedback system and the key-users are obliged to use it. The aim of the feedback system is to improve the quality and stimulate the usage of the data. The results of the pilot shows that the user-friendly and open to everyone feedback system contributes enormously to improve the quality of the topographic dataset.;                     </jats:p>,XL-3/W3,,51,54,Data mining; Geography; Data science; Open data; User group; Topographic map; Volunteered geographic information; Data set; Crowdsourcing,,,,,https://noa.gwlb.de/receive/cop_mods_00015511 https://ui.adsabs.harvard.edu/abs/2015ISPAr.XL3...51G/abstract http://www.int-arch-photogramm-remote-sens-spatial-inf-sci.net/XL-3-W3/51/2015/isprsarchives-XL-3-W3-51-2015.pdf https://www.int-arch-photogramm-remote-sens-spatial-inf-sci.net/XL-3-W3/51/2015/,http://dx.doi.org/10.5194/isprsarchives-xl-3-w3-51-2015,10.5194/isprsarchives-xl-3-w3-51-2015,2298089010,,0,091-367-012-578-769; 147-127-811-573-697,1,,(magid) 2298089010; (coreid) 92185933; (doi) 10.5194/isprsarchives-xl-3-w3-51-2015,en
003-088-318-580-278,Exploring the distribution patterns of Flickr photos,2019-09-17,2019,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Xuan Ding; Hongchao Fan,"<jats:p>In recent years, volunteered-geographic-information (VGI) image data have served as a data source for various geographic applications, attracting researchers to assess the quality of these images. However, these applications and quality assessments are generally focused on images associated with geolocation through textual annotations, which is only part of valid images to them. In this paper, we explore the distribution pattern for most relevant VGI images of specific landmarks to extend the current quality analysis, and to provide guidance for improving the data-retrieval process of geographic applications. Distribution is explored in terms of two aspects, namely, semantic distribution and spatial distribution. In this paper, the term semantic distribution is used to describe the matching of building-image tags and content with each other. There are three kinds of images (semantic-relevant and content-relevant, semantic-relevant but content-irrelevant, and semantic-irrelevant but content-relevant). Spatial distribution shows how relevant images are distributed around a landmark. The process of this work can be divided into three parts: data filtering, retrieval of relevant landmark images, and distribution analysis. For semantic distribution, statistical results show that an average of 60% of images tagged with the building’s name actually represents the building, while 69% of images depicting the building are not annotated with the building’s name. There was also an observation that for most landmarks, 97% of relevant building images were located within 300 m around the building in terms of spatial distribution.</jats:p>",8,9,418,,Geolocation; Information retrieval; Spatial distribution; Landmark; Data source; Data filtering; Distribution pattern; Computer science; Volunteered geographic information,,,,National Natural Science Foundation of China-Yunnan Joint Fund,https://doi.org/10.3390/ijgi8090418 https://dblp.uni-trier.de/db/journals/ijgi/ijgi8.html#DingF19 https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/2641656 https://www.mdpi.com/2220-9964/8/9/418 https://www.mdpi.com/2220-9964/8/9/418/pdf,http://dx.doi.org/10.3390/ijgi8090418,10.3390/ijgi8090418,2973945743,,0,000-612-749-921-969; 020-132-620-861-048; 028-303-905-295-179; 067-256-046-078-584; 072-346-674-622-560; 090-711-745-810-346; 098-440-015-522-27X; 127-491-841-235-58X; 156-096-618-588-00X,2,,(doi) 10.3390/ijgi8090418; (magid) 2973945743,en
